#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_041862875.1	PRJNA1098507	SAMN40910609	na	na	573	573	Klebsiella pneumoniae	strain=2018-01-2640	na	latest	Complete Genome	Major	Full	2024-09-07	ASM4186287v1	Stavanger University Hospital	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/862/875/GCA_041862875.1_ASM4186287v1	from large multi-isolate project	na	na	haploid	bacteria	5624445	5624445	57.000000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-04-26	5563	5300	126	na
GCA_019434255.1	PRJNA749500	SAMN20373013	na	na	573	573	Klebsiella pneumoniae	strain=KP-426	na	latest	Complete Genome	Major	Full	2021-08-02	ASM1943425v1	The Second Affiliated Hospital of Zhejiang University School of Medicine	GCF_019434255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/434/255/GCA_019434255.1_ASM1943425v1	na	na	na	haploid	bacteria	5919746	5919746	57.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-07-27	5930	5638	121	na
GCA_963924225.1	PRJEB71895	SAMEA115110148	na	na	573	573	Klebsiella pneumoniae	strain=161F1	na	latest	Complete Genome	Major	Full	2024-04-07	pOXA-48_2_FIN	Institut Pasteur	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/225/GCA_963924225.1_pOXA-48_2_FIN	unverified source organism; genome length too small	na	na	haploid	bacteria	56605	56605	51.000000	1	1	1	na	na		0	0	0	na
GCA_002056385.1	PRJNA292902	SAMN04014956	na	na	573	573	Klebsiella pneumoniae	strain=AR_0115	na	latest	Complete Genome	Major	Full	2017-03-21	ASM205638v1	Centers for Disease Control and Prevention	GCF_002056385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/056/385/GCA_002056385.1_ASM205638v1	na	na	na	haploid	bacteria	5666107	5666107	57.000000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-02-27	6051	5765	124	na
GCA_040983925.2	PRJNA1140135	SAMN42814192	JBFSET000000000.1	na	573	573	Klebsiella pneumoniae	strain=JH426Kpn	na	latest	Complete Genome	Major	Full	2024-07-31	ASM4098392v2	INEI - ANLIS Dr. Carlos G. Malbran	GCF_040983925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/983/925/GCA_040983925.2_ASM4098392v2	na	na	na	haploid	bacteria	6215160	6215160	56.500000	9	9	9	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-07-26	6295	6002	125	na
GCA_012166915.1	PRJNA616339	SAMN14487838	na	na	573	573	Klebsiella pneumoniae	strain=Bckp021	na	latest	Complete Genome	Major	Full	2020-04-08	ASM1216691v1	Nanjing Agricultural University	GCF_012166915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/166/915/GCA_012166915.1_ASM1216691v1	annotation fails completeness check	na	na	haploid	bacteria	5948279	5948279	56.500000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-04-01	6008	5707	121	na
GCA_037477825.1	PRJNA945360	SAMN33790407	na	na	573	573	Klebsiella pneumoniae	strain=331	na	latest	Complete Genome	Major	Full	2024-03-23	ASM3747782v1	Research Institute for Systems Biology and Medicine	GCF_037477825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/477/825/GCA_037477825.1_ASM3747782v1	na	na	na	haploid	bacteria	5719465	5719465	57.000000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-09	5697	5440	125	na
GCA_012971665.1	PRJNA625837	SAMN14609948	na	na	573	573	Klebsiella pneumoniae	strain=E17KP0053	na	latest	Complete Genome	Major	Full	2020-05-04	ASM1297166v1	Yonsei University College of medicine	GCF_012971665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/971/665/GCA_012971665.1_ASM1297166v1	from large multi-isolate project	na	na	haploid	bacteria	5776120	5776120	57.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-04-27	5769	5499	123	na
GCA_030489745.1	PRJNA990923	SAMN36281288	na	na	573	573	Klebsiella pneumoniae	strain=2016N08-086	na	latest	Complete Genome	Major	Full	2023-07-17	ASM3048974v1	national health research institutes	GCF_030489745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/489/745/GCA_030489745.1_ASM3048974v1	na	na	na	haploid	bacteria	5837812	5837812	57.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-07-10	5708	5440	123	na
GCA_025734435.1	PRJNA887220	SAMN31156880	na	na	573	573	Klebsiella pneumoniae	strain=KPTA-2108	na	latest	Complete Genome	Major	Full	2022-10-18	ASM2573443v1	Affiliated Tai'an City Central Hospital of Qingdao University	GCF_025734435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/734/435/GCA_025734435.1_ASM2573443v1	na	na	na	haploid	bacteria	5671614	5671614	57.000000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-10-12	5594	5320	125	na
