#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_033546895.1	PRJNA1034776	SAMN38072555	na	na	564	564	Escherichia fergusonii	strain=EF21023765	na	latest	Complete Genome	Major	Full	2023-11-12	ASM3354689v1	Jinhua Central Hospital	GCF_033546895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/546/895/GCA_033546895.1_ASM3354689v1	na	na	na	haploid	bacteria	4718827	4718827	50.000000	5	5	5	na	na		0	0	0	na
GCA_013829265.1	PRJNA605147	SAMN15148274	na	na	564	564	Escherichia fergusonii	strain=RHB28-C21	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1382926v1	The REHAB Consortium	GCF_013829265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/829/265/GCA_013829265.1_ASM1382926v1	na	na	na	haploid	bacteria	5058232	5058232	49.500000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4898	4622	119	34609275
GCA_020002285.1	PRJNA746760	SAMN20239770	na	na	564	564	Escherichia fergusonii	strain=6S41-1	na	latest	Complete Genome	Major	Full	2021-09-15	ASM2000228v1	State Key Laboratory for Diagnosis and Treatment of Infectious Disease	GCF_020002285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/002/285/GCA_020002285.1_ASM2000228v1	na	na	na	haploid	bacteria	4977581	4977581	50.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-07-19	4882	4616	115	na
GCA_013801845.1	PRJNA605147	SAMN15148427	na	na	564	564	Escherichia fergusonii	strain=RHB41-C15	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1380184v1	The REHAB Consortium	GCF_013801845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/801/845/GCA_013801845.1_ASM1380184v1	na	na	na	haploid	bacteria	4909259	4909259	50.000000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4791	4539	123	34609275
GCA_013899685.1	PRJNA605147	SAMN15148066	na	na	564	564	Escherichia fergusonii	strain=RHB10-C23	na	latest	Complete Genome	Major	Full	2020-07-29	ASM1389968v1	The REHAB Consortium	GCF_013899685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/899/685/GCA_013899685.1_ASM1389968v1	na	na	na	haploid	bacteria	4718001	4718001	50.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4531	4279	115	34609275
GCA_000026225.1	PRJNA33369	SAMEA3138228	na	na	585054	564	Escherichia fergusonii ATCC 35469	strain=ATCC 35469T	na	latest	Complete Genome	Major	Full	2008-12-18	ASM2622v1	Genoscope	GCF_000026225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/225/GCA_000026225.1_ASM2622v1	na	assembly from type material	na	haploid	bacteria	4643861	4643861	50.000000	2	2	2	Genoscope	Annotation submitted by Genoscope	2015-03-01	4554	4324	177	na
GCA_036510215.1	PRJDB16297	SAMD00633952	na	na	564	564	Escherichia fergusonii	strain=18B269LT	na	latest	Complete Genome	Major	Full	2023-09-02	ASM3651021v1	Okinawa Prefectural Institute of Health and Environment	GCF_036510215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/510/215/GCA_036510215.1_ASM3651021v1	na	na	na	haploid	bacteria	4944875	4944875	50.000000	5	5	5	Okinawa Prefectural Institute of Health and Environment	Annotation submitted by Okinawa Prefectural Institute of Health and Environment	2023-09-02	4675	4564	111	na
GCA_013893835.1	PRJNA605147	SAMN15148152	na	na	564	564	Escherichia fergusonii	strain=RHB18-C04	na	latest	Complete Genome	Major	Full	2020-07-29	ASM1389383v1	The REHAB Consortium	GCF_013893835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/893/835/GCA_013893835.1_ASM1389383v1	na	na	na	haploid	bacteria	4690913	4690913	50.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4551	4361	117	34609275
GCA_013834525.1	PRJNA605147	SAMN15148244	na	na	564	564	Escherichia fergusonii	strain=RHB26-C03	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1383452v1	The REHAB Consortium	GCF_013834525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/834/525/GCA_013834525.1_ASM1383452v1	na	na	na	haploid	bacteria	4730448	4730448	50.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4619	4441	115	34609275
GCA_008064915.1	PRJNA218110	SAMN03734431	na	na	564	564	Escherichia fergusonii	strain=ATCC 35470	na	latest	Complete Genome	Major	Full	2019-08-22	ASM806491v1	CDC	GCF_008064915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/064/915/GCA_008064915.1_ASM806491v1	na	na	na	haploid	bacteria	4524922	4524922	50.000000	1	1	1	na	na		0	0	0	na
GCA_029719985.1	PRJNA605147	SAMN15488660	na	na	564	564	Escherichia fergusonii	strain=RHB44-C03	na	latest	Complete Genome	Major	Full	2023-04-13	ASM2971998v1	The REHAB Consortium	GCF_029719985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/719/985/GCA_029719985.1_ASM2971998v1	na	na	na	haploid	bacteria	4892769	4892769	49.500000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-15	4749	4485	114	na
GCA_013820225.1	PRJNA605147	SAMN15148320	na	na	564	564	Escherichia fergusonii	strain=RHB32-C16	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1382022v1	The REHAB Consortium	GCF_013820225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/820/225/GCA_013820225.1_ASM1382022v1	na	na	na	haploid	bacteria	4802523	4802523	50.000000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4644	4418	116	34609275
GCA_020883415.1	PRJNA778656	SAMN22978650	na	na	564	564	Escherichia fergusonii	strain=EF20JDJ4045	na	latest	Complete Genome	Major	Full	2021-11-18	ASM2088341v1	Zhejiang Academy of Agricultural Sciences	GCF_020883415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/883/415/GCA_020883415.1_ASM2088341v1	na	na	na	haploid	bacteria	5125452	5125452	49.500000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-11-10	5029	4569	119	35157074;36736926
GCA_013836325.1	PRJNA605147	SAMN15148237	na	na	564	564	Escherichia fergusonii	strain=RHB25-C10	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1383632v1	The REHAB Consortium	GCF_013836325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/836/325/GCA_013836325.1_ASM1383632v1	na	na	na	haploid	bacteria	4573840	4573840	50.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4373	4197	122	34609275
GCA_013800985.1	PRJNA605147	SAMN15148432	na	na	564	564	Escherichia fergusonii	strain=RHB42-C01	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1380098v1	The REHAB Consortium	GCF_013800985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/800/985/GCA_013800985.1_ASM1380098v1	na	na	na	haploid	bacteria	4719138	4719138	50.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4534	4277	117	34609275
GCA_023094055.1	PRJNA778656	SAMN27582503	na	na	564	564	Escherichia fergusonii	strain=EF21JD053	na	latest	Complete Genome	Major	Full	2022-04-24	ASM2309405v1	Zhejiang Academy of Agricultural Sciences	GCF_023094055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/094/055/GCA_023094055.1_ASM2309405v1	na	na	na	haploid	bacteria	5228048	5228048	49.500000	9	9	9	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-04-18	5101	4805	117	36736926
GCA_013838265.1	PRJNA605147	SAMN15148225	na	na	564	564	Escherichia fergusonii	strain=RHB24-C08	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1383826v1	The REHAB Consortium	GCF_013838265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/838/265/GCA_013838265.1_ASM1383826v1	na	na	na	haploid	bacteria	4457616	4457616	50.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4248	4064	114	34609275
GCA_029720005.1	PRJNA605147	SAMN15488658	na	na	564	564	Escherichia fergusonii	strain=RHB44-C01	na	latest	Complete Genome	Major	Full	2023-04-13	ASM2972000v1	The REHAB Consortium	GCF_029720005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/720/005/GCA_029720005.1_ASM2972000v1	na	na	na	haploid	bacteria	4838630	4838630	50.000000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-15	4722	4450	117	na
GCA_036511015.1	PRJDB16297	SAMD00633956	na	na	564	564	Escherichia fergusonii	strain=22C056LT	na	latest	Complete Genome	Major	Full	2023-09-02	ASM3651101v1	Okinawa Prefectural Institute of Health and Environment	GCF_036511015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/511/015/GCA_036511015.1_ASM3651101v1	na	na	na	haploid	bacteria	4947260	4947260	50.000000	5	5	5	Okinawa Prefectural Institute of Health and Environment	Annotation submitted by Okinawa Prefectural Institute of Health and Environment	2023-09-02	4683	4572	111	na
