#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_003718195.1	PRJNA474465	SAMN09320535	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=311189_252186	na	latest	Complete Genome	Major	Full	2018-11-07	ASM371819v1	LNCC	GCF_003718195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/718/195/GCA_003718195.1_ASM371819v1	na	na	na	haploid	bacteria	4999085	4999085	52.000000	2	2	2	LNCC	Annotation submitted by LNCC	2018-11-07	4526	4427	99	na
GCA_044999565.1	PRJEB62461	SAMN44486295	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=11_1036	na	latest	Complete Genome	Major	Full	2024-11-18	ASM4499956v1	CHRISTIAN MEDICAL COLLEGE	GCF_044999565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/999/565/GCA_044999565.1_ASM4499956v1	na	na	na	haploid	bacteria	5004808	5004808	52.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-11-05	4972	4516	111	na
GCA_003717995.1	PRJNA474465	SAMN09320545	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=343076_227128	na	latest	Complete Genome	Major	Full	2018-11-07	ASM371799v1	LNCC	GCF_003717995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/717/995/GCA_003717995.1_ASM371799v1	na	na	na	haploid	bacteria	4906905	4906905	52.000000	2	2	2	LNCC	Annotation submitted by LNCC	2018-11-07	4450	4348	99	na
GCA_001367555.2	PRJEB3215	SAMEA2160515	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=1036491	na	latest	Complete Genome	Major	Full	2017-08-04	1036491	SC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/367/555/GCA_001367555.2_1036491	RefSeq annotation failed; missing tRNA genes	na	na	haploid	bacteria	4723198	4723198	52.000000	1	1	1	na	na		0	0	0	na
GCA_001356455.2	PRJEB3215	SAMEA1903846	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=1016889	na	latest	Complete Genome	Major	Full	2017-08-04	1016889	SC	GCF_001356455.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/356/455/GCA_001356455.2_1016889	RefSeq annotation failed	na	na	haploid	bacteria	4807786	4807786	52.000000	1	1	1	na	na		0	0	0	na
GCA_003718015.1	PRJNA474465	SAMN09320544	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=343076_217103	na	latest	Complete Genome	Major	Full	2018-11-07	ASM371801v1	LNCC	GCF_003718015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/718/015/GCA_003718015.1_ASM371801v1	na	na	na	haploid	bacteria	4775784	4775784	52.000000	1	1	1	LNCC	Annotation submitted by LNCC	2018-11-07	4321	4219	102	na
GCA_041682025.1	PRJNA1127853	SAMN42021409	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=1017142	na	latest	Complete Genome	Major	Full	2024-08-30	ASM4168202v1	Malawi Liverpool Wellcome Programme	GCF_041682025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/682/025/GCA_041682025.1_ASM4168202v1	na	na	na	haploid	bacteria	4795235	4795235	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-07-09	4715	4289	110	na
GCA_028747885.1	PRJNA910287	SAMN32935254	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=S2	na	latest	Complete Genome	Major	Full	2023-02-21	ASM2874788v1	The University of Hong Kong	GCF_028747885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/747/885/GCA_028747885.1_ASM2874788v1	na	na	na	haploid	bacteria	4779270	4779270	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-02-06	4702	4281	109	na
GCA_003718355.1	PRJNA474465	SAMN09320578	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=343078_273110	na	latest	Complete Genome	Major	Full	2018-11-07	ASM371835v1	LNCC	GCF_003718355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/718/355/GCA_003718355.1_ASM371835v1	na	na	na	haploid	bacteria	4907851	4907851	52.000000	2	2	2	LNCC	Annotation submitted by LNCC	2018-11-07	4453	4351	100	na
GCA_001088345.2	PRJEB3215	SAMEA2072679	na	na	90370	28901	Salmonella enterica subsp. enterica serovar Typhi	strain=ERL052042	na	latest	Complete Genome	Major	Full	2017-08-04	052042_2	SC	GCF_001088345.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/088/345/GCA_001088345.2_052042_2	RefSeq annotation failed	na	na	haploid	bacteria	4786155	4786155	52.000000	1	1	1	na	na		0	0	0	na
