#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_003324795.1	PRJNA354244	SAMN09237642	na	na	2577863	28901	Salmonella enterica subsp. salamae serovar 56:z10:e,n,x	strain=SA20011914	na	latest	Complete Genome	Major	Full	2018-07-17	ASM332479v1	Laboratory for Foodborne Zoonoses	GCF_003324795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/795/GCA_003324795.1_ASM332479v1	na	na	na	haploid	bacteria	4816177	4816177	52.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-06-12	4796	4423	117	na
GCA_006912375.2	PRJNA186035	SAMN03700936	na	na	59202	28901	Salmonella enterica subsp. salamae	strain=CFSAN001013	na	latest	Complete Genome	Major	Full	2021-05-21	ASM691237v2	Center for Food Safety and Applied Nutrition	GCF_006912375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/912/375/GCA_006912375.2_ASM691237v2	from large multi-isolate project	na	na	haploid	bacteria	4717999	4717999	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-11	4467	4223	120	na
GCA_002234475.1	PRJNA294448	SAMN04160816	na	na	1710356	28901	Salmonella enterica subsp. salamae serovar 57:z29:z42	strain=ST114	na	latest	Complete Genome	Major	Full	2017-07-27	ASM223447v1	Laboratory for Foodborne Zoonoses	GCF_002234475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/475/GCA_002234475.1_ASM223447v1	na	na	na	haploid	bacteria	4719375	4719375	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-07-19	4699	4397	120	na
GCA_019339465.1	PRJNA681856	SAMN17316108	na	na	59202	28901	Salmonella enterica subsp. salamae	strain=LHICA_SA3	na	latest	Complete Genome	Major	Full	2021-07-26	ASM1933946v1	Universidade de Santiago de Compostela	GCF_019339465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/339/465/GCA_019339465.1_ASM1933946v1	na	na	na	haploid	bacteria	4970704	4970704	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-07-19	4758	4481	118	na
GCA_013138225.1	PRJNA230403	SAMN14832287	na	na	2733501	28901	Salmonella enterica subsp. salamae serovar 48:z81:z39	strain=2015K-0023	na	latest	Complete Genome	Major	Full	2020-05-21	ASM1313822v1	CDC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/138/225/GCA_013138225.1_ASM1313822v1	from large multi-isolate project	na	na	haploid	bacteria	4929329	4929329	52.000000	1	1	1	na	na		0	0	0	na
GCA_019339485.1	PRJNA681856	SAMN17315977	na	na	59202	28901	Salmonella enterica subsp. salamae	strain=LHICA_SA2	na	latest	Complete Genome	Major	Full	2021-07-26	ASM1933948v1	Universidade de Santiago de Compostela	GCF_019339485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/339/485/GCA_019339485.1_ASM1933948v1	annotation fails completeness check	na	na	haploid	bacteria	4786296	4786296	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-07-19	4571	4279	119	na
GCA_003994635.1	PRJNA510422	SAMN10638893	na	na	2500152	28901	Salmonella enterica subsp. salamae serovar 42:r:-	strain=RSE09	na	latest	Complete Genome	Major	Full	2019-01-06	ASM399463v1	Pennsylvania State University	GCF_003994635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/635/GCA_003994635.1_ASM399463v1	na	na	na	haploid	bacteria	4860626	4860626	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-12-27	4816	4540	119	na
GCA_003994675.1	PRJNA510422	SAMN10638926	na	na	2500152	28901	Salmonella enterica subsp. salamae serovar 42:r:-	strain=RSE42	na	latest	Complete Genome	Major	Full	2019-01-06	ASM399467v1	Pennsylvania State University	GCF_003994675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/675/GCA_003994675.1_ASM399467v1	na	na	na	haploid	bacteria	4861251	4861251	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-12-27	4818	4546	118	na
GCA_003872475.2	PRJNA186035	SAMN03285119	na	na	2577901	28901	Salmonella enterica subsp. salamae serovar 6,7:m,t:-	strain=CFSAN028548	na	latest	Complete Genome	Major	Full	2021-06-07	ASM387247v2	Center for Food Safety and Applied Nutrition	GCF_003872475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/872/475/GCA_003872475.2_ASM387247v2	from large multi-isolate project	na	na	haploid	bacteria	4584738	4584738	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-12	4370	4174	119	na
GCA_005899965.2	PRJNA186035	SAMN03700933	na	na	59202	28901	Salmonella enterica subsp. salamae	strain=CFSAN001010	na	latest	Complete Genome	Major	Full	2021-05-21	ASM589996v2	Center for Food Safety and Applied Nutrition	GCF_005899965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/899/965/GCA_005899965.2_ASM589996v2	from large multi-isolate project	na	na	haploid	bacteria	5095461	5095461	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-11	4921	4672	123	na
GCA_003994555.1	PRJNA510422	SAMN10638920	na	na	2500152	28901	Salmonella enterica subsp. salamae serovar 42:r:-	strain=RSE36	na	latest	Complete Genome	Major	Full	2019-01-06	ASM399455v1	Pennsylvania State University	GCF_003994555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/555/GCA_003994555.1_ASM399455v1	annotation fails completeness check; many frameshifted proteins	na	na	haploid	bacteria	4856831	4856831	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-12-27	4804	4214	103	na
