#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_964056315.1	PRJEB57633	SAMEA112146176	na	na	562	562	Escherichia coli	na	31663_7#240	latest	Complete Genome	Major	Full	2024-11-17	31663_7#240	University of Oslo	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/056/315/GCA_964056315.1_31663_7_240	from large multi-isolate project	na	na	haploid	bacteria	4943588	4943588	50.500000	3	3	3	na	na		0	0	0	na
GCA_007833295.1	PRJNA557100	SAMN12389518	na	na	562	562	Escherichia coli	strain=BCE049	na	latest	Complete Genome	Major	Full	2019-08-05	ASM783329v1	Nanjing Agricultural University	GCF_007833295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/833/295/GCA_007833295.1_ASM783329v1	na	na	na	haploid	bacteria	5386935	5386935	50.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-07-30	5401	5062	102	na
GCA_964042965.1	PRJEB57633	SAMEA112144608	na	na	562	562	Escherichia coli	na	30224_1#382	latest	Complete Genome	Major	Full	2024-11-17	30224_1#382	University of Oslo	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/042/965/GCA_964042965.1_30224_1_382	from large multi-isolate project	na	na	haploid	bacteria	5200101	5200101	50.500000	5	5	5	na	na		0	0	0	na
GCA_032375265.1	PRJNA1019817	SAMN35768963	na	na	562	562	Escherichia coli	strain=TUM2367	na	latest	Complete Genome	Major	Full	2023-10-05	ASM3237526v1	Toho university	GCF_032375265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/375/265/GCA_032375265.1_ASM3237526v1	na	na	na	haploid	bacteria	5407399	5407399	51.000000	9	9	9	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-09-29	5386	5044	105	na
GCA_030063885.1	PRJNA961666	SAMN34360953	na	na	562	562	Escherichia coli	strain=AVS0750	na	latest	Complete Genome	Major	Full	2023-05-12	ASM3006388v1	University of Zurich	GCF_030063885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/063/885/GCA_030063885.1_ASM3006388v1	na	na	na	haploid	bacteria	5184596	5184596	50.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-01	5076	4747	106	na
GCA_008275045.1	PRJNA553190	SAMN12231002	na	na	562	562	Escherichia coli	strain=FusInv	na	latest	Complete Genome	Major	Full	2019-09-05	ASM827504v1	MRC Laboratory of Molecular Biology	GCF_008275045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/275/045/GCA_008275045.1_ASM827504v1	genome length too small	na	na	haploid	bacteria	3975975	3975975	51.000000	1	1	1	na	na		0	0	0	na
GCA_033802525.1	PRJNA599529	SAMN38124872	na	na	562	562	Escherichia coli	strain=30EVA1	na	latest	Complete Genome	Major	Full	2023-11-19	ASM3380252v1	Temasek Life Sciences Laboratory Limited	GCF_033802525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/802/525/GCA_033802525.1_ASM3380252v1	na	na	na	haploid	bacteria	5029774	5029774	50.500000	3	3	3	na	na		0	0	0	na
GCA_046581315.1	PRJNA1062294	SAMN39290642	na	na	562	562	Escherichia coli	strain=SX45	na	latest	Complete Genome	Major	Full	2025-01-10	ASM4658131v1	Northwest A&F University	GCF_046581315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/581/315/GCA_046581315.1_ASM4658131v1	na	na	na	haploid	bacteria	4983683	4983683	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-22	4936	4590	123	39426540
GCA_050157565.1	PRJNA1136676	SAMN42539152	na	na	562	562	Escherichia coli	strain=A26887	na	latest	Complete Genome	Major	Full	2025-05-06	ASM5015756v1	University Hospital Muenster	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/157/565/GCA_050157565.1_ASM5015756v1	from large multi-isolate project	na	na	haploid	bacteria	5486161	5486161	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-02-18	5485	5106	117	na
GCA_030296395.1	PRJDB15441	SAMD00587889	na	na	511145	562	Escherichia coli str. K-12 substr. MG1655	strain=D33b substr. MG1655	na	latest	Complete Genome	Major	Full	2023-03-21	ASM3029639v1	Molecular Genetics Laboratory, Department of Biological Sciences, School of Science, Tokyo Metropolitan University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/296/395/GCA_030296395.1_ASM3029639v1	genome length too small	na	na	haploid	bacteria	2831460	2831460	51.000000	1	1	1	Molecular Genetics Laboratory, Department of Biological Sciences, School of Science, Tokyo Metropolitan University	Annotation submitted by Molecular Genetics Laboratory, Department of Biological Sciences, School of Science, Tokyo Metropolitan University	2023-03-21	2724	2623	101	na
