#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_050174195.1	PRJNA1136676	SAMN42539035	na	na	562	562	Escherichia coli	strain=A24982	na	latest	Complete Genome	Major	Full	2025-05-06	ASM5017419v1	University Hospital Muenster	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/174/195/GCA_050174195.1_ASM5017419v1	from large multi-isolate project	na	na	haploid	bacteria	4964953	4964953	51.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-02-18	4844	4434	120	na
GCA_037287415.1	PRJNA1007270	SAMN40123765	na	na	562	562	Escherichia coli	strain=GN04275	na	latest	Complete Genome	Major	Full	2024-03-18	ASM3728741v1	The University of Texas Health Sciences Center	GCF_037287415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/287/415/GCA_037287415.1_ASM3728741v1	na	na	na	haploid	bacteria	5091280	5091280	50.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-08	5015	4709	121	38190524
GCA_009664205.1	PRJNA556986	SAMN12385929	na	na	562	562	Escherichia coli	strain=AQ15	na	latest	Complete Genome	Major	Full	2019-11-15	ASM966420v1	University of Florida	GCF_009664205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/205/GCA_009664205.1_ASM966420v1	na	na	na	haploid	bacteria	4753097	4753097	51.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-09-03	4656	4372	115	31612993
GCA_009951245.1	PRJNA552621	SAMN12214765	na	na	562	562	Escherichia coli	strain=STEC313	na	latest	Complete Genome	Major	Full	2020-01-29	ASM995124v1	Massey University	GCF_009951245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/951/245/GCA_009951245.1_ASM995124v1	na	na	na	haploid	bacteria	5179566	5179566	50.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-07-10	5180	4871	122	31757694
GCA_049950185.1	PRJNA1236865	SAMN47407290	na	na	562	562	Escherichia coli	strain=TUM23331	na	latest	Complete Genome	Major	Full	2025-04-28	Hybrid genome assembly using MiSeq and MinION	Toho University	GCF_049950185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/950/185/GCA_049950185.1_Hybrid_genome_assembly_using_MiSeq_and_MinION	na	na	na	haploid	bacteria	4545773	4545773	51.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-04-21	4424	4107	123	na
GCA_005396225.2	PRJDB5579	SAMD00077658	na	na	562	562	Escherichia coli	strain=SI-NP020	na	latest	Complete Genome	Major	Full	2021-03-03	ASM539622v2	Microbiology, Graduate School of Medical Sciences, Kyushu University	GCF_005396225.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/396/225/GCA_005396225.2_ASM539622v2	na	na	na	haploid	bacteria	5073921	5073921	50.500000	1	1	1	Microbiology, Graduate School of Medical Sciences, Kyushu University	Annotation submitted by Microbiology, Graduate School of Medical Sciences, Kyushu University	2021-04-09	4795	4681	114	na
GCA_043944155.1	PRJNA1134622	SAMN42421708	na	na	562	562	Escherichia coli	strain=OXEC-222	na	latest	Complete Genome	Major	Full	2024-10-26	222	University of Oxford	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/944/155/GCA_043944155.1_222	from large multi-isolate project	na	na	haploid	bacteria	5377253	5377253	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-07-30	5262	4916	119	na
GCA_049570405.1	PRJNA736395	SAMN19645621	na	na	991910	562	Escherichia coli O111:H8	strain=7-55 62A	na	latest	Complete Genome	Major	Full	2025-04-14	ASM4957040v1	United State Department of Agriculture	GCF_049570405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/570/405/GCA_049570405.1_ASM4957040v1	na	na	na	haploid	bacteria	5922640	5922640	50.500000	9	9	9	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-06-22	6046	5588	141	na
GCA_027925625.1	PRJDB14896	SAMD00562883	na	na	562	562	Escherichia coli	strain=H19	na	latest	Complete Genome	Major	Full	2023-01-13	ASM2792562v1	Kyushu University	GCF_027925625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/925/625/GCA_027925625.1_ASM2792562v1	na	na	na	haploid	bacteria	5809914	5809914	50.500000	5	5	5	Kyushu University	Annotation submitted by Kyushu University	2023-01-13	5784	5668	116	na
GCA_020091645.1	PRJNA763317	SAMN21437960	na	na	562	562	Escherichia coli	strain=ECNB21-M121	na	latest	Complete Genome	Major	Full	2021-09-22	ASM2009164v1	Zhejiang Academy of Agricultural Sciences	GCF_020091645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/645/GCA_020091645.1_ASM2009164v1	na	na	na	haploid	bacteria	5271753	5271753	50.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-09-16	5146	4827	117	35697210
