#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_028622575.1	PRJNA931640	SAMN33094095	na	na	208962	208962	Escherichia albertii	strain=BIA_16-1	na	latest	Complete Genome	Major	Full	2023-02-15	ASM2862257v1	Medical University of Bialystok	GCF_028622575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/622/575/GCA_028622575.1_ASM2862257v1	na	na	na	haploid	bacteria	4727671	4727671	49.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-02-08	4617	4313	128	na
GCA_003312485.2	PRJNA218110	SAMN08199278	na	na	208962	208962	Escherichia albertii	strain=05-3106	na	latest	Complete Genome	Major	Full	2018-12-06	ASM331248v2	CDC	GCF_003312485.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/312/485/GCA_003312485.2_ASM331248v2	na	na	na	haploid	bacteria	4856970	4856970	50.000000	3	3	3	na	na		0	0	0	na
GCA_024532405.1	PRJNA852350	SAMN29328106	na	na	208962	208962	Escherichia albertii	strain=105_1_LWG_A	na	latest	Complete Genome	Major	Full	2022-08-04	ASM2453240v1	Chinese Center for Disaease Control and Prevention	GCF_024532405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/532/405/GCA_024532405.1_ASM2453240v1	na	na	na	haploid	bacteria	4838649	4838649	49.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-28	4796	4373	128	na
GCA_024532095.1	PRJNA852350	SAMN29328120	na	na	208962	208962	Escherichia albertii	strain=251_2_EW_B	na	latest	Complete Genome	Major	Full	2022-08-04	ASM2453209v1	Chinese Center for Disaease Control and Prevention	GCF_024532095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/532/095/GCA_024532095.1_ASM2453209v1	na	na	na	haploid	bacteria	4904544	4904544	49.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-28	4791	4457	130	na
GCA_017357605.1	PRJNA561565	SAMN12620703	na	na	208962	208962	Escherichia albertii	strain=RM15115	na	latest	Complete Genome	Major	Full	2021-03-16	ASM1735760v1	USDA, ARS, WRRC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/357/605/GCA_017357605.1_ASM1735760v1	many frameshifted proteins	na	na	haploid	bacteria	5008888	5008888	49.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-08-23	5030	4377	135	na
GCA_017357685.1	PRJNA561565	SAMN12620694	na	na	208962	208962	Escherichia albertii	strain=RM10507	na	latest	Complete Genome	Major	Full	2021-03-16	ASM1735768v1	USDA, ARS, WRRC	GCF_017357685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/357/685/GCA_017357685.1_ASM1735768v1	na	na	na	haploid	bacteria	5251051	5251051	49.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-08-23	5303	4903	136	na
GCA_040114625.1	PRJNA1118084	SAMN41599850	na	na	208962	208962	Escherichia albertii	strain=ESA311	na	latest	Complete Genome	Major	Full	2024-06-10	ASM4011462v1	Chinese Center for Disaease Control and Prevention	GCF_040114625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/114/625/GCA_040114625.1_ASM4011462v1	na	na	na	haploid	bacteria	5283236	5283236	49.500000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-06-03	5224	4861	128	na
GCA_024532225.1	PRJNA852350	SAMN29328114	na	na	208962	208962	Escherichia albertii	strain=205_2_TBG_B	na	latest	Complete Genome	Major	Full	2022-08-04	ASM2453222v1	Chinese Center for Disaease Control and Prevention	GCF_024532225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/532/225/GCA_024532225.1_ASM2453222v1	na	na	na	haploid	bacteria	4799087	4799087	50.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-28	4765	4422	124	na
GCA_040114695.1	PRJNA1118084	SAMN41599864	na	na	208962	208962	Escherichia albertii	strain=FH2023039	na	latest	Complete Genome	Major	Full	2024-06-10	ASM4011469v1	Chinese Center for Disaease Control and Prevention	GCF_040114695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/114/695/GCA_040114695.1_ASM4011469v1	na	na	na	haploid	bacteria	4917111	4917111	49.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-06-03	4838	4519	127	na
GCA_003312545.2	PRJNA218110	SAMN08172567	na	na	208962	208962	Escherichia albertii	strain=2013C-4143	na	latest	Complete Genome	Major	Full	2018-12-06	ASM331254v2	CDC	GCF_003312545.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/312/545/GCA_003312545.2_ASM331254v2	na	na	na	haploid	bacteria	4659709	4659709	50.000000	1	1	1	na	na		0	0	0	na
