#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_009730355.1	PRJNA231221	SAMN11056453	na	na	1639133	1639133	Citrobacter portucalensis	strain=FDAARGOS_738	na	latest	Complete Genome	Major	Full	2019-12-05	ASM973035v1	US Food and Drug Administration	GCF_009730355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/355/GCA_009730355.1_ASM973035v1	na	na	na	haploid	bacteria	5162652	5162652	52.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-11-22	4937	4771	117	na
GCA_030179595.1	PRJNA288601	SAMN30974101	na	na	1639133	1639133	Citrobacter portucalensis	strain=2017-45-163	na	latest	Complete Genome	Major	Full	2023-06-06	ASM3017959v1	Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion	GCF_030179595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/179/595/GCA_030179595.1_ASM3017959v1	na	na	na	haploid	bacteria	5571345	5571345	51.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-10-21	5521	5267	117	na
GCA_022024315.1	PRJNA802109	SAMN22377409	na	na	1639133	1639133	Citrobacter portucalensis	strain=56322CZ	na	latest	Complete Genome	Major	Full	2022-02-07	ASM2202431v1	Charles University in Prague	GCF_022024315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/024/315/GCA_022024315.1_ASM2202431v1	na	na	na	haploid	bacteria	5444450	5444450	52.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-02-01	5268	5038	123	36687644
GCA_032917905.1	PRJNA1026356	SAMN37738783	na	na	1639133	1639133	Citrobacter portucalensis	strain=L2724hy	na	latest	Complete Genome	Major	Full	2023-10-22	ASM3291790v1	Zhejiang Chinese Medical University	GCF_032917905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/917/905/GCA_032917905.1_ASM3291790v1	na	na	na	haploid	bacteria	5691752	5691752	51.500000	12	12	12	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-10-13	5561	5316	121	na
GCA_046097145.1	PRJNA1190321	SAMN45030901	na	na	1639133	1639133	Citrobacter portucalensis	strain=CRNMS3	na	latest	Complete Genome	Major	Full	2024-12-15	ASM4609714v1	Department of Clinical Laboratory, Zhejiang Province People's Hospital	GCF_046097145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/097/145/GCA_046097145.1_ASM4609714v1	na	na	na	haploid	bacteria	5133866	5133866	51.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-12-04	4980	4757	117	na
GCA_021496985.1	PRJNA636005	SAMN15062844	na	na	1639133	1639133	Citrobacter portucalensis	strain=BY9F36	na	latest	Complete Genome	Major	Full	2022-01-18	ASM2149698v1	South China Agricultural University	GCF_021496985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/496/985/GCA_021496985.1_ASM2149698v1	na	na	na	haploid	bacteria	5057441	5057441	52.000000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-01	4827	4646	121	na
GCA_008364725.2	PRJNA559804	SAMN12560192	na	na	1639133	1639133	Citrobacter portucalensis	strain=C4	na	latest	Complete Genome	Major	Full	2024-06-04	ASM836472v2	Microbiology and Biotechnology, Max Rubner-Institut	GCF_008364725.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/364/725/GCA_008364725.2_ASM836472v2	na	na	na	haploid	bacteria	5050184	5050184	52.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-31	4826	4605	120	na
GCA_023650815.1	PRJNA787395	SAMN23798780	na	na	1639133	1639133	Citrobacter portucalensis	strain=GD21SC92T	na	latest	Complete Genome	Major	Full	2022-06-06	ASM2365081v1	South China Agricultural University	GCF_023650815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/650/815/GCA_023650815.1_ASM2365081v1	na	na	na	haploid	bacteria	5555199	5555199	51.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-12-13	5448	5194	124	na
GCA_041319915.1	PRJNA850883	SAMN29495184	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT150	na	latest	Complete Genome	Major	Full	2024-08-16	ASM4131991v1	Food Engineering and Biotechnology, Guangdong Technion Israel Institution of Technology	GCF_041319915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/319/915/GCA_041319915.1_ASM4131991v1	na	na	na	haploid	bacteria	5779133	5779133	51.500000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-07-08	5653	5374	115	39089095
GCA_036785855.1	PRJNA411762	SAMN22837217	na	na	1639133	1639133	Citrobacter portucalensis	strain=CAVp365	na	latest	Complete Genome	Major	Full	2024-02-22	ASM3678585v1	Biological Sciences, University of Adelaide	GCF_036785855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/785/855/GCA_036785855.1_ASM3678585v1	na	na	na	haploid	bacteria	4932743	4932743	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-16	4724	4540	120	na
