#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_048288485.1	PRJNA1216622	SAMN46437970	na	na	623	623	Shigella flexneri	strain=SFBU0723	na	latest	Complete Genome	Major	Full	2025-03-03	ASM4828848v1	University of the Witwatersrand	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/288/485/GCA_048288485.1_ASM4828848v1	unverified source organism; annotation fails completeness check; many frameshifted proteins	na	na	haploid	bacteria	4704798	4704798	51.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-02-21	6036	2465	104	na
GCA_024732285.1	PRJNA841078	SAMN28576601	na	na	623	623	Shigella flexneri	strain=E	na	latest	Complete Genome	Major	Full	2022-08-22	ASM2473228v1	Genome Institute of Singapore	GCF_024732285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/732/285/GCA_024732285.1_ASM2473228v1	na	na	na	haploid	bacteria	4811261	4811261	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-05-24	4900	4030	134	35979220
GCA_000743955.1	PRJNA186498	SAMN02999960	na	na	1282357	623	Shigella flexneri 2003036	strain=2003036	na	latest	Complete Genome	Major	Full	2014-08-27	ASM74395v1	Institute for Communicable Disease Control and Prevention	GCF_000743955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/955/GCA_000743955.1_ASM74395v1	na	na	na	haploid	bacteria	4595814	4595814	51.000000	1	1	1	Institute for Communicable Disease Control and Prevention	Annotation submitted by Institute for Communicable Disease Control and Prevention	2014-08-27	5009	4891	117	na
GCA_020274125.2	PRJNA315192	SAMN15508567	na	na	623	623	Shigella flexneri	strain=961332	na	latest	Complete Genome	Major	Full	2022-08-08	ASM2027412v2	Health Protection Agency	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/274/125/GCA_020274125.2_ASM2027412v2	from large multi-isolate project	na	na	haploid	bacteria	4947829	4947829	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-08-02	5039	4043	131	na
GCA_020463225.2	PRJNA315192	SAMN22214596	na	na	623	623	Shigella flexneri	strain=1489814	na	latest	Complete Genome	Major	Full	2022-08-08	ASM2046322v2	Health Protection Agency	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/463/225/GCA_020463225.2_ASM2046322v2	from large multi-isolate project	na	na	haploid	bacteria	4956782	4956782	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-08-02	5064	3980	133	na
GCA_022030315.2	PRJNA315192	SAMN25689441	na	na	623	623	Shigella flexneri	strain=1573332	na	latest	Complete Genome	Major	Full	2022-08-08	ASM2203031v2	Health Protection Agency	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/030/315/GCA_022030315.2_ASM2203031v2	from large multi-isolate project	na	na	haploid	bacteria	4949099	4949099	50.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-08-02	5043	4007	132	na
GCA_022354685.1	PRJNA603241	SAMN13925597	na	na	623	623	Shigella flexneri	strain=SWHIN_104	na	latest	Complete Genome	Major	Full	2022-02-22	ASM2235468v1	The University of Hong Kong	GCF_022354685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/354/685/GCA_022354685.1_ASM2235468v1	na	na	na	haploid	bacteria	5056077	5056077	51.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-16	4890	4641	120	35078531
GCA_022494275.1	PRJNA603241	SAMN13925568	na	na	623	623	Shigella flexneri	strain=STLIN_11	na	latest	Complete Genome	Major	Full	2022-03-07	ASM2249427v1	The University of Hong Kong	GCF_022494275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/494/275/GCA_022494275.1_ASM2249427v1	na	na	na	haploid	bacteria	5154541	5154541	50.500000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-07-08	4967	4467	118	35078531
GCA_022493955.1	PRJNA603241	SAMN13925552	na	na	623	623	Shigella flexneri	strain=STLE1	na	latest	Complete Genome	Major	Full	2022-03-07	ASM2249395v1	The University of Hong Kong	GCF_022493955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/493/955/GCA_022493955.1_ASM2249395v1	na	na	na	haploid	bacteria	4557343	4557343	51.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-07-08	4401	4054	121	35078531
GCA_013364115.1	PRJNA231221	SAMN11056406	na	na	623	623	Shigella flexneri	strain=FDAARGOS_691	na	latest	Complete Genome	Major	Full	2020-06-22	ASM1336411v1	US Food and Drug Administration	GCF_013364115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/364/115/GCA_013364115.1_ASM1336411v1	na	na	na	haploid	bacteria	4543799	4543799	51.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-12	4548	3800	129	na
