#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_016598715.1	PRJNA687669	SAMN17152229	na	na	624	624	Shigella sonnei	strain=893916	na	latest	Complete Genome	Major	Full	2021-01-10	ASM1659871v1	University of Bath	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/598/715/GCA_016598715.1_ASM1659871v1	many frameshifted proteins	na	na	haploid	bacteria	4813904	4813904	51.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-01-04	4796	3864	128	na
GCA_038368245.1	PRJNA1071830	SAMN39735791	na	na	624	624	Shigella sonnei	strain=R15.0763	na	latest	Complete Genome	Major	Full	2024-04-17	ASM3836824v1	Center for Diagnostics and Vaccine Development, Centers for Disease Control, Taiwan	GCF_038368245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/368/245/GCA_038368245.1_ASM3836824v1	na	na	na	haploid	bacteria	4966095	4966095	51.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-04-10	5047	4279	128	na
GCA_002150905.1	PRJNA369464	SAMN06286561	na	na	624	624	Shigella sonnei	strain=75/02	na	latest	Complete Genome	Major	Full	2017-05-19	ASM215090v1	Seqomics Ltd.	GCF_002150905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/150/905/GCA_002150905.1_ASM215090v1	na	na	na	haploid	bacteria	5224048	5224048	50.500000	8	8	8	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-02-01	6216	5352	129	na
GCA_002442535.1	PRJNA273284	SAMN03612247	na	na	624	624	Shigella sonnei	strain=CFSAN030807	na	latest	Complete Genome	Major	Full	2017-10-04	ASM244253v1	FDA Center for Food Safety and Applied Nutrition	GCF_002442535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/442/535/GCA_002442535.1_ASM244253v1	na	na	na	haploid	bacteria	5062953	5062953	51.000000	9	9	9	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-09-22	5612	4496	130	na
GCA_000092525.1	PRJNA13151	SAMN02603602	na	na	300269	624	Shigella sonnei Ss046	strain=Ss046	na	latest	Complete Genome	Major	Full	2007-04-05	ASM9252v1	Microbial Genome Center of ChMPH	GCF_000092525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/525/GCA_000092525.1_ASM9252v1	na	na	na	haploid	bacteria	5055316	5055316	51.000000	5	5	5	Microbial Genome Center of ChMPH	Annotation submitted by Microbial Genome Center of ChMPH	2016-07-26	4809	4475	119	16122562;16275786
GCA_037042485.2	PRJNA1071830	SAMN40123130	na	na	624	624	Shigella sonnei	strain=R15.3427	na	latest	Complete Genome	Major	Full	2024-05-17	ASM3704248v1	Center for Diagnostics and Vaccine Development, Centers for Disease Control, Taiwan	GCF_037042485.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/042/485/GCA_037042485.2_ASM3704248v1	na	na	na	haploid	bacteria	5202972	5202972	51.000000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	5323	4461	132	na
GCA_038367755.1	PRJNA1071830	SAMN39735790	na	na	624	624	Shigella sonnei	strain=R15.0423	na	latest	Complete Genome	Major	Full	2024-04-17	ASM3836775v1	Center for Diagnostics and Vaccine Development, Centers for Disease Control, Taiwan	GCF_038367755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/367/755/GCA_038367755.1_ASM3836775v1	na	na	na	haploid	bacteria	5221885	5221885	51.000000	12	12	12	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-04-10	5367	4517	130	na
GCA_025369995.1	PRJNA315192	SAMN22962688	na	na	624	624	Shigella sonnei	strain=1519721	na	latest	Complete Genome	Major	Full	2022-09-22	ASM2536999v1	Health Protection Agency	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/369/995/GCA_025369995.1_ASM2536999v1	from large multi-isolate project	na	na	haploid	bacteria	5223330	5223330	51.000000	5	5	5	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-09-14	5359	4384	126	na
GCA_900659655.1	PRJEB30677	SAMEA5210148	na	na	624	624	Shigella sonnei	strain=AUSMDU00008333	AUSMDU00008333	latest	Complete Genome	Major	Full	2019-02-12	AUSMDU00008333	UNIVERSITY OF MELBOURNE	GCF_900659655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/659/655/GCA_900659655.1_AUSMDU00008333	annotation fails completeness check	na	na	haploid	bacteria	5006011	5006011	51.000000	4	4	4	na	na		0	0	0	na
GCA_038364745.1	PRJNA1071830	SAMN39735802	na	na	624	624	Shigella sonnei	strain=R21.0552	na	latest	Complete Genome	Major	Full	2024-04-17	ASM3836474v1	Center for Diagnostics and Vaccine Development, Centers for Disease Control, Taiwan	GCF_038364745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/364/745/GCA_038364745.1_ASM3836474v1	na	na	na	haploid	bacteria	5279353	5279353	51.000000	11	11	11	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-04-10	5425	4557	129	na
GCA_014217935.1	PRJNA643901	SAMN15437744	na	na	624	624	Shigella sonnei	strain=UKMCC_1015	na	latest	Complete Genome	Major	Full	2020-08-17	ASM1421793v1	Monash University Malaysia	GCF_014217935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/935/GCA_014217935.1_ASM1421793v1	na	na	na	haploid	bacteria	4935775	4935775	51.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-08-11	4944	4146	136	na
GCA_002224625.1	PRJNA218110	SAMN06843644	na	na	624	624	Shigella sonnei	strain=2015C-3566	na	latest	Complete Genome	Major	Full	2017-07-24	ASM222462v1	CDC	GCF_002224625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/224/625/GCA_002224625.1_ASM222462v1	na	na	na	haploid	bacteria	4949228	4949228	51.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-05-10	5452	4457	123	na
GCA_013938895.2	PRJNA315192	SAMN10232612	na	na	624	624	Shigella sonnei	strain=618335	na	latest	Complete Genome	Major	Full	2025-03-06	618335	Public Health, Public Health England	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/938/895/GCA_013938895.2_618335	from large multi-isolate project	na	na	haploid	bacteria	5138354	5138354	50.500000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-01-31	5253	4395	132	na
GCA_013201485.1	PRJNA278886	SAMN07663113	na	na	624	624	Shigella sonnei	strain=506	na	latest	Complete Genome	Major	Full	2020-06-01	ASM1320148v1	Brigham & Women's Hospital	GCF_013201485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/485/GCA_013201485.1_ASM1320148v1	na	na	na	haploid	bacteria	5344107	5344107	50.500000	13	13	13	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-05-26	5439	4505	132	na
GCA_013374815.1	PRJNA639662	SAMN15244675	na	na	624	624	Shigella sonnei	strain=SE6-1	na	latest	Complete Genome	Major	Full	2020-06-27	ASM1337481v1	Chonbuk National Univerity	GCF_013374815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/374/815/GCA_013374815.1_ASM1337481v1	na	na	na	haploid	bacteria	4762774	4762774	50.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-19	4567	4321	116	na
GCA_013936045.2	PRJNA315192	SAMN10388383	na	na	624	624	Shigella sonnei	strain=633497	na	latest	Complete Genome	Major	Full	2025-03-06	633497	Public Health, Public Health England	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/936/045/GCA_013936045.2_633497	from large multi-isolate project	na	na	haploid	bacteria	4986415	4986415	51.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-01-31	5133	4318	126	na
