#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_001277275.1	PRJNA291037	SAMN03938714	na	na	28141	28141	Cronobacter sakazakii	strain=NCTC 8155	na	latest	Complete Genome	Major	Full	2015-09-01	ASM127727v1	Nestle Institute of Health Sciences	GCF_001277275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/277/275/GCA_001277275.1_ASM127727v1	na	na	na	haploid	bacteria	4610566	4610566	57.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-08-03	4284	4129	109	27013041
GCA_049942885.1	PRJNA258403	SAMN07205641	na	na	28141	28141	Cronobacter sakazakii	strain=MOD1_KW11	na	latest	Complete Genome	Major	Full	2025-04-27	KW11	FDA/CFSAN	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/942/885/GCA_049942885.1_KW11	from large multi-isolate project	na	na	haploid	bacteria	4475871	4475871	57.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-04-21	4247	4063	112	na
GCA_041222895.1	PRJNA1128737	SAMN42101086	na	na	28141	28141	Cronobacter sakazakii	strain=ATCC 29004	na	latest	Complete Genome	Major	Full	2024-08-12	ASM4122289v1	Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch	GCF_041222895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/222/895/GCA_041222895.1_ASM4122289v1	na	na	na	haploid	bacteria	4516740	4516740	57.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-08-05	4357	4136	120	na
GCA_000982825.1	PRJNA276173	SAMN03371468	na	na	28141	28141	Cronobacter sakazakii	strain=ATCC 29544	na	latest	Complete Genome	Major	Full	2015-04-30	ASM98282v1	Food-borne Pathogen Omics Research Center	GCF_000982825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/825/GCA_000982825.1_ASM98282v1	na	assembly from type material	na	haploid	bacteria	4663565	4663565	56.500000	4	4	4	Food-borne Pathogen Omics Research Center	Annotation submitted by Food-borne Pathogen Omics Research Center	2015-04-30	4620	4488	105	na
GCA_041222885.1	PRJNA1128737	SAMN42101085	na	na	28141	28141	Cronobacter sakazakii	strain=ATCC 29544	na	latest	Complete Genome	Major	Full	2024-08-12	ASM4122288v1	Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch	GCF_041222885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/222/885/GCA_041222885.1_ASM4122288v1	na	assembly from type material	na	haploid	bacteria	4626559	4626559	56.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-08-05	4514	4272	122	na
GCA_000263215.1	PRJNA81953	SAMN02603850	na	na	1138308	28141	Cronobacter sakazakii ES15	strain=ES15	na	latest	Complete Genome	Major	Full	2012-05-17	ASM26321v1	Seoul National University	GCF_000263215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/215/GCA_000263215.1_ASM26321v1	na	na	na	haploid	bacteria	4268675	4268675	57.000000	1	1	1	Seoul National University	Annotation submitted by Seoul National University	2014-01-31	4018	3916	102	22843579
GCA_025200595.1	PRJNA281531	SAMN30466962	na	na	28141	28141	Cronobacter sakazakii	strain=USDA-ARS-USMARC-54664	na	latest	Complete Genome	Major	Full	2022-09-14	ASM2520059v1	USDA-ARS-USMARC	GCF_025200595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/200/595/GCA_025200595.1_ASM2520059v1	na	na	na	haploid	bacteria	4375629	4375629	57.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-09-06	4105	3944	114	na
GCA_000017665.1	PRJNA12720	SAMN02603913	na	na	290339	28141	Cronobacter sakazakii ATCC BAA-894	strain=ATCC BAA-894	na	latest	Complete Genome	Major	Full	2007-08-28	ASM1766v1	The Enterobacter sakazakii Genome Sequencing Project	GCF_000017665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/665/GCA_000017665.1_ASM1766v1	na	na	na	haploid	bacteria	4530777	4530777	56.500000	3	3	3	The Enterobacter sakazakii Genome Sequencing Project	Annotation submitted by The Enterobacter sakazakii Genome Sequencing Project	2016-07-26	4573	4442	123	20221447
GCA_013425995.1	PRJNA645121	SAMN15493123	na	na	28141	28141	Cronobacter sakazakii	strain=5563_17	na	latest	Complete Genome	Major	Full	2020-07-20	ASM1342599v1	National Medicines Institute	GCF_013425995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/425/995/GCA_013425995.1_ASM1342599v1	na	na	na	haploid	bacteria	4315383	4315383	57.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-07-14	4021	3856	113	na
GCA_025345525.1	PRJNA752220	SAMN20586791	na	na	28141	28141	Cronobacter sakazakii	strain=Crono-589	na	latest	Complete Genome	Major	Full	2022-09-21	ASM2534552v1	China National Centre for Food Safety Risk Assessment	GCF_025345525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/345/525/GCA_025345525.1_ASM2534552v1	na	na	na	haploid	bacteria	4492083	4492083	57.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-08-06	4271	4086	112	na
