#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_000981805.1	PRJNA181160	SAMN03447475	na	na	1261127	35703	Citrobacter amalonaticus Y19	strain=Y19	na	latest	Complete Genome	Major	Full	2015-04-29	ASM98180v1	Pusan National University	GCF_000981805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/805/GCA_000981805.1_ASM98180v1	na	na	na	haploid	bacteria	5875351	5875351	53.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-03-31	5546	5325	107	23377788
GCA_001558935.2	PRJNA231221	SAMN03996309	na	na	35703	35703	Citrobacter amalonaticus	strain=FDAARGOS_165	na	latest	Complete Genome	Major	Full	2018-02-12	ASM155893v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCF_001558935.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/935/GCA_001558935.2_ASM155893v2	na	na	na	haploid	bacteria	5084037	5084037	53.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-02-10	5036	4755	119	na
GCA_001559075.2	PRJNA231221	SAMN03996265	na	na	35703	35703	Citrobacter amalonaticus	strain=FDAARGOS_122	na	latest	Complete Genome	Major	Full	2018-02-26	ASM155907v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCF_001559075.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/075/GCA_001559075.2_ASM155907v2	na	na	na	haploid	bacteria	4904719	4904719	53.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-02-23	4747	4507	117	na
GCA_006965505.1	PRJNA543044	SAMN11653541	na	na	35703	35703	Citrobacter amalonaticus	strain=133355-SW-C4-Cam	na	latest	Complete Genome	Major	Full	2019-07-14	ASM696550v1	University of Bern	GCF_006965505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/965/505/GCA_006965505.1_ASM696550v1	na	na	na	haploid	bacteria	4804472	4804472	53.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-07-08	4610	4408	115	na
GCA_015353115.1	PRJNA674671	SAMN16667806	na	na	35703	35703	Citrobacter amalonaticus	strain=CA71	na	latest	Complete Genome	Major	Full	2020-11-11	ASM1535311v1	Lishui Hospital, Zhejiang University School of Medicine	GCF_015353115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/353/115/GCA_015353115.1_ASM1535311v1	na	na	na	haploid	bacteria	4959201	4959201	53.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-11-05	4808	4610	119	na
GCA_018323885.1	PRJDB11476	SAMD00294600	na	na	35703	35703	Citrobacter amalonaticus	strain=JCM 1661	na	latest	Complete Genome	Major	Full	2021-04-22	ASM1832388v1	RIKEN, BDR	GCF_018323885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/323/885/GCA_018323885.1_ASM1832388v1	na	assembly from type material	na	haploid	bacteria	5073658	5073658	53.500000	4	4	4	RIKEN, BDR	Annotation submitted by RIKEN, BDR	2021-04-22	4858	4749	109	na
GCA_019645955.1	PRJNA752145	SAMN20585126	na	na	35703	35703	Citrobacter amalonaticus	strain=C3H	na	latest	Complete Genome	Major	Full	2021-08-17	ASM1964595v1	Wellcome Trust Sanger Institute	GCF_019645955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/955/GCA_019645955.1_ASM1964595v1	na	na	na	haploid	bacteria	4847284	4847284	53.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-08-11	4650	4487	116	na
GCA_020099335.1	PRJNA231221	SAMN21218845	na	reference genome	35703	35703	Citrobacter amalonaticus	strain=FDAARGOS_1489	na	latest	Complete Genome	Major	Full	2021-09-23	ASM2009933v1	US Food and Drug Administration	GCF_020099335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/099/335/GCA_020099335.1_ASM2009933v1	na	assembly from type material	na	haploid	bacteria	5071999	5071999	53.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-09-16	4870	4668	114	na
GCA_025723225.1	PRJNA833279	SAMN27967465	na	na	35703	35703	Citrobacter amalonaticus	strain=RSHH22	na	latest	Complete Genome	Major	Full	2022-10-17	ASM2572322v1	Justus Liebig University Giessen	GCF_025723225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/723/225/GCA_025723225.1_ASM2572322v1	na	na	na	haploid	bacteria	4988209	4988209	53.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-05-02	4808	4621	117	36171625
GCA_033726075.2	PRJNA812595	SAMN38251288	na	na	35703	35703	Citrobacter amalonaticus	strain=2023CK-01304	na	latest	Complete Genome	Major	Full	2023-12-20	ASM3372607v2	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	GCF_033726075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/726/075/GCA_033726075.2_ASM3372607v2	na	na	na	haploid	bacteria	5315119	5315119	53.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-14	5205	4954	117	na
