#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_004847885.1	PRJNA186035	SAMN01942254	na	na	1182190	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000960	strain=CFSAN000960	na	latest	Complete Genome	Major	Full	2019-04-24	ASM484788v1	Center for Food Safety and Applied Nutrition	GCF_004847885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/847/885/GCA_004847885.1_ASM484788v1	na	na	na	haploid	bacteria	4808492	4808492	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-18	4692	4472	116	na
GCA_000698715.2	PRJNA186035	SAMN00989085	na	na	1173459	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000211	strain=CFSAN000211	na	latest	Complete Genome	Major	Full	2019-05-02	ASM69871v2	Center for Food Safety and Applied Nutrition	GCF_000698715.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/715/GCA_000698715.2_ASM69871v2	na	na	na	haploid	bacteria	4727567	4727567	52.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-18	4604	4396	117	na
GCA_009648715.1	PRJNA541970	SAMN01823701	na	na	1173427	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	strain=CFSAN000189	na	latest	Complete Genome	Major	Full	2019-11-11	ASM964871v1	FDA Center for Food Safety and Applied Nutrition	GCF_009648715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/648/715/GCA_009648715.1_ASM964871v1	na	na	na	haploid	bacteria	4808521	4808521	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-11-04	4624	4426	117	na
GCA_015223545.3	PRJNA670605	SAMN16514989	na	na	58096	28901	Salmonella enterica subsp. enterica serovar Bareilly	strain=FC745	na	latest	Complete Genome	Major	Full	2020-12-04	ASM1522354v3	Christian Medical College, Vellore	GCF_015223545.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/223/545/GCA_015223545.3_ASM1522354v3	annotation fails completeness check	na	na	haploid	bacteria	4904673	4904673	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-12-03	4752	4364	110	na
GCA_004847565.1	PRJNA186035	SAMN01942233	na	na	1182180	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000951	strain=CFSAN000951	na	latest	Complete Genome	Major	Full	2019-04-24	ASM484756v1	Center for Food Safety and Applied Nutrition	GCF_004847565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/847/565/GCA_004847565.1_ASM484756v1	na	na	na	haploid	bacteria	4726556	4726556	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-18	4602	4391	116	na
GCA_000748245.2	PRJNA186035	SAMN00862341	na	na	1173461	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000212	strain=CFSAN000212	na	latest	Complete Genome	Major	Full	2019-05-02	ASM74824v2	Center for Food Safety and Applied Nutrition	GCF_000748245.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/748/245/GCA_000748245.2_ASM74824v2	na	na	na	haploid	bacteria	4727570	4727570	52.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-18	4604	4399	117	na
GCA_009648755.1	PRJNA541970	SAMN00991044	na	na	1182174	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000669	strain=CFSAN000669	na	latest	Complete Genome	Major	Full	2019-11-11	ASM964875v1	FDA Center for Food Safety and Applied Nutrition	GCF_009648755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/648/755/GCA_009648755.1_ASM964875v1	na	na	na	haploid	bacteria	4808371	4808371	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-11-04	4623	4426	116	na
GCA_046272145.1	PRJNA1101017	SAMN41071139	na	na	58096	28901	Salmonella enterica subsp. enterica serovar Bareilly	strain=GTVSS-003	na	latest	Complete Genome	Major	Full	2024-12-25	ASM4627214v1	CFSAN, US FDA	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/272/145/GCA_046272145.1_ASM4627214v1	RefSeq annotation failed	na	na	haploid	bacteria	4808368	4808368	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-12-18	4646	4395	116	na
GCA_000748565.2	PRJNA186035	SAMN00862340	na	na	1173456	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000228	strain=CFSAN000228	na	latest	Complete Genome	Major	Full	2019-05-02	ASM74856v2	Center for Food Safety and Applied Nutrition	GCF_000748565.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/748/565/GCA_000748565.2_ASM74856v2	na	na	na	haploid	bacteria	4774876	4774876	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-18	4684	4470	120	na
GCA_004847505.1	PRJNA186035	SAMN01816359	na	na	1208630	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN001115	strain=CFSAN001115	na	latest	Complete Genome	Major	Full	2019-04-24	ASM484750v1	Center for Food Safety and Applied Nutrition	GCF_004847505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/847/505/GCA_004847505.1_ASM484750v1	na	na	na	haploid	bacteria	4808476	4808476	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-18	4691	4468	116	na
GCA_018338355.1	PRJNA186035	SAMN00991058	na	na	1182186	28901	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000755	strain=CFSAN000755	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1833835v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/338/355/GCA_018338355.1_ASM1833835v1	from large multi-isolate project	na	na	haploid	bacteria	4727224	4727224	52.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4528	4338	117	na
