#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_013781965.1	PRJNA605147	SAMN15148768	na	na	546	546	Citrobacter freundii	strain=RHBSTW-01016	na	latest	Complete Genome	Major	Full	2020-07-28	ASM1378196v1	The REHAB Consortium	GCF_013781965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/781/965/GCA_013781965.1_ASM1378196v1	na	na	na	haploid	bacteria	5284993	5284993	51.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-18	5181	4871	125	34609275
GCA_013371705.1	PRJNA599024	SAMN13737474	na	na	546	546	Citrobacter freundii	strain=ZY198	na	latest	Complete Genome	Major	Full	2020-06-24	ASM1337170v1	Center for Disease Control and Prevention of PLA	GCF_013371705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/371/705/GCA_013371705.1_ASM1337170v1	na	na	na	haploid	bacteria	5285127	5285127	51.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-18	5137	4897	121	na
GCA_014337335.1	PRJNA271899	SAMN08148335	na	na	546	546	Citrobacter freundii	strain=MGH281	na	latest	Complete Genome	Major	Full	2020-08-31	ASM1433733v1	Broad Institute	GCF_014337335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/337/335/GCA_014337335.1_ASM1433733v1	unverified source organism	na	na	haploid	bacteria	5567713	5567713	51.500000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-08-25	5413	5231	119	na
GCA_011064845.1	PRJNA607328	SAMN14128751	na	na	1006003	546	Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681	strain=ATCC 8090	na	latest	Complete Genome	Major	Full	2020-03-05	ASM1106484v1	Lawrence Berkeley National Laboratory	GCF_011064845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/064/845/GCA_011064845.1_ASM1106484v1	na	assembly from type material	na	haploid	bacteria	4957773	4957773	51.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-02-20	4734	4550	119	32381611
GCA_034377565.1	PRJNA607328	SAMN37931207	na	na	546	546	Citrobacter freundii	na	FELIX_MS432	latest	Complete Genome	Major	Full	2023-12-14	ASM3437756v1	Lawrence Berkeley National Laboratory	GCF_034377565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/377/565/GCA_034377565.1_ASM3437756v1	out of scope for the RefSeq project	na	na	haploid	bacteria	4956775	4956775	51.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-17	4759	4558	119	na
GCA_013726615.1	PRJNA605147	SAMN15148742	na	na	546	546	Citrobacter freundii	strain=RHBSTW-00915	na	latest	Complete Genome	Major	Full	2020-07-27	ASM1372661v1	The REHAB Consortium	GCF_013726615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/726/615/GCA_013726615.1_ASM1372661v1	na	na	na	haploid	bacteria	5140393	5140393	51.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-18	5030	4803	125	34609275
GCA_004103775.1	PRJNA515406	SAMN10754625	na	na	546	546	Citrobacter freundii	strain=R17	na	latest	Complete Genome	Major	Full	2019-01-23	ASM410377v1	Zhejiang Chinese Medical University	GCF_004103775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/103/775/GCA_004103775.1_ASM410377v1	na	na	na	haploid	bacteria	5331078	5331078	51.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-01-17	5269	4987	123	na
GCA_022646275.1	PRJNA650177	SAMN15694748	na	na	546	546	Citrobacter freundii	strain=3863	na	latest	Complete Genome	Major	Full	2022-03-21	ASM2264627v1	City University of Hong Kong	GCF_022646275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/646/275/GCA_022646275.1_ASM2264627v1	na	na	na	haploid	bacteria	4998883	4998883	51.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-08-03	4793	4614	121	na
GCA_001718055.1	PRJNA338780	SAMN05570461	na	na	546	546	Citrobacter freundii	strain=SL151	na	latest	Complete Genome	Major	Full	2016-09-02	ASM171805v1	Naval Research Laboratory	GCF_001718055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/055/GCA_001718055.1_ASM171805v1	na	na	na	haploid	bacteria	5497225	5497225	52.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2016-08-29	5285	5075	127	na
GCA_009664065.1	PRJNA529869	SAMN11288343	na	na	546	546	Citrobacter freundii	strain=680	na	latest	Complete Genome	Major	Full	2019-11-15	ASM966406v1	IHU mediterranee infection	GCF_009664065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/065/GCA_009664065.1_ASM966406v1	na	na	na	haploid	bacteria	5557664	5557664	51.500000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-04	5650	5356	118	31687131
