#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_001969425.1	PRJNA337942	SAMN05514141	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=775W	na	latest	Complete Genome	Major	Full	2017-01-23	ASM196942v1	USDA-ARS-USMARC	GCF_001969425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/969/425/GCA_001969425.1_ASM196942v1	na	na	na	haploid	bacteria	5262033	5262033	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2016-08-10	5105	4902	125	28293682
GCA_008727575.1	PRJNA562719	SAMN12648955	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=AR-0405	na	latest	Complete Genome	Major	Full	2019-09-29	ASM872757v1	Centers for Disease Control and Prevention	GCF_008727575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/575/GCA_008727575.1_ASM872757v1	na	na	na	haploid	bacteria	4864287	4864287	52.000000	2	2	2	na	na		0	0	0	na
GCA_005978105.2	PRJNA292666	SAMN06048838	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=FSIS1608545	na	latest	Complete Genome	Major	Full	2021-09-09	ASM597810v2	FDA	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/978/105/GCA_005978105.2_ASM597810v2	from large multi-isolate project	na	na	haploid	bacteria	4944184	4944184	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-09-02	4772	4556	118	34867920
GCA_003864035.1	PRJNA561053	SAMN10485461	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=ATCC 8400	na	latest	Complete Genome	Major	Full	2018-12-05	ASM386403v1	FDA-CVM	GCF_003864035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/864/035/GCA_003864035.1_ASM386403v1	na	na	na	haploid	bacteria	4818442	4818442	52.000000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-11-29	4782	4493	119	na
GCA_016454665.1	PRJNA622256	SAMN14504550	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=CVM 20749	na	latest	Complete Genome	Major	Full	2020-12-31	ASM1645466v1	FDA-CVM	GCF_016454665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/454/665/GCA_016454665.1_ASM1645466v1	na	na	na	haploid	bacteria	5009604	5009604	52.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-04-14	4833	4609	120	32883017
GCA_018339695.1	PRJNA186035	SAMN03218188	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=CFSAN006211	na	latest	Complete Genome	Major	Full	2021-05-11	ASM1833969v1	Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/339/695/GCA_018339695.1_ASM1833969v1	from large multi-isolate project	na	na	haploid	bacteria	4923263	4923263	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-05-03	4765	4565	121	na
GCA_007861245.2	PRJNA292661	SAMN12360095	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=CVM N18S0991	na	latest	Complete Genome	Major	Full	2021-09-09	ASM786124v2	FDA	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/861/245/GCA_007861245.2_ASM786124v2	from large multi-isolate project	na	na	haploid	bacteria	5048943	5048943	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-09-01	4898	4658	121	34867920
GCA_004768625.1	PRJNA417863	SAMN10501887	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=GTA-FD-2016-MI-02533-2	na	latest	Complete Genome	Major	Full	2019-04-10	ASM476862v1	Canadian Food Inspection Agency	GCF_004768625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/768/625/GCA_004768625.1_ASM476862v1	na	na	na	haploid	bacteria	5153512	5153512	52.000000	4	4	4	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-02	5216	4888	120	na
GCA_004768565.1	PRJNA316728	SAMN11029488	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=SA20061017	na	latest	Complete Genome	Major	Full	2019-04-10	ASM476856v1	Laboratory for Foodborne Zoonoses	GCF_004768565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/768/565/GCA_004768565.1_ASM476856v1	na	na	na	haploid	bacteria	4863322	4863322	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-04-02	4826	4581	118	na
GCA_002953175.1	PRJNA423165	SAMN08369945	na	na	28150	28901	Salmonella enterica subsp. enterica serovar Senftenberg	strain=N17-509	na	latest	Complete Genome	Major	Full	2018-02-04	ASM295317v1	University of Zurich	GCF_002953175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/175/GCA_002953175.1_ASM295317v1	annotation fails completeness check	na	na	haploid	bacteria	5151049	5151049	52.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-01-26	5361	4786	120	na
