#  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
GCA_045345325.1	PRJNA1087001	SAMN40453079	na	na	244366	244366	Klebsiella variicola	strain=AJ292	na	latest	Complete Genome	Major	Full	2024-03-28	AJ292__202310	Department of Microbiology and Immunology, The University of Melbourne	GCF_045345325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/345/325/GCA_045345325.1_AJ292_202310	na	na	na	haploid	bacteria	5445132	5445132	57.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-21	5218	5009	124	na
GCA_023588825.1	PRJNA841464	SAMN28596439	na	na	244366	244366	Klebsiella variicola	strain=17YN56	na	latest	Complete Genome	Major	Full	2022-05-30	ASM2358882v1	Chinese Center for Disease Control and Prevention	GCF_023588825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/588/825/GCA_023588825.1_ASM2358882v1	na	na	na	haploid	bacteria	5434345	5434345	57.500000	1	1	1	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-05-24	5246	5017	124	na
GCA_024138755.1	PRJNA707073	SAMN18145423	na	na	244366	244366	Klebsiella variicola	strain=KGB_1	na	latest	Complete Genome	Major	Full	2022-07-05	ASM2413875v1	Center for Genomic Sciences	GCF_024138755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/138/755/GCA_024138755.1_ASM2413875v1	na	na	na	haploid	bacteria	5820857	5820857	57.000000	3	3	3	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-03-11	5653	5426	119	na
GCA_001969305.1	PRJNA309027	SAMN04419546	na	na	244366	244366	Klebsiella variicola	strain=LMG 23571	na	latest	Complete Genome	Major	Full	2017-01-23	ASM196930v1	Zhejiang University	GCF_001969305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/969/305/GCA_001969305.1_ASM196930v1	na	na	na	haploid	bacteria	5763656	5763656	57.000000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2016-01-19	5405	5243	124	na
GCA_015287155.1	PRJNA672205	SAMN16560588	na	na	244366	244366	Klebsiella variicola	strain=BS359-2-1	na	latest	Complete Genome	Major	Full	2020-11-09	ASM1528715v1	microbial pathogenic ecology group	GCF_015287155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/287/155/GCA_015287155.1_ASM1528715v1	na	na	na	haploid	bacteria	5510850	5510850	57.500000	1	1	1	na	na		0	0	0	na
GCA_041926215.1	PRJNA1098507	SAMN40910544	na	na	2590157	244366	Klebsiella variicola subsp. variicola	strain=T7-133	na	latest	Complete Genome	Major	Full	2024-09-14	ASM4192621v1	Department of Medical Microbiology, Stavanger University Hospital	GCF_041926215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/926/215/GCA_041926215.1_ASM4192621v1	na	na	na	haploid	bacteria	5726928	5726928	57.000000	6	6	6	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-04-26	5662	5369	125	na
GCA_026069065.2	PRJNA288601	SAMN31592762	na	na	244366	244366	Klebsiella variicola	strain=2022CK-00567	na	latest	Complete Genome	Major	Full	2022-12-29	ASM2606906v2	Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion	GCF_026069065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/069/065/GCA_026069065.2_ASM2606906v2	na	na	na	haploid	bacteria	6014465	6014465	57.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-12-14	5903	5624	127	na
GCA_041926935.1	PRJNA1098507	SAMN40910579	na	na	2590157	244366	Klebsiella variicola subsp. variicola	strain=T7-335	na	latest	Complete Genome	Major	Full	2024-09-14	ASM4192693v1	Department of Medical Microbiology, Stavanger University Hospital	GCF_041926935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/926/935/GCA_041926935.1_ASM4192693v1	na	na	na	haploid	bacteria	5718961	5718961	57.500000	2	2	2	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-04-26	5569	5316	125	na
GCA_002164805.3	PRJNA353728	SAMN06909163	na	na	244366	244366	Klebsiella variicola	strain=WCHKP19	na	latest	Complete Genome	Major	Full	2019-08-16	ASM216480v3	West China Hospital, Sichuan University	GCF_002164805.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/164/805/GCA_002164805.3_ASM216480v3	na	na	na	haploid	bacteria	6152376	6152376	57.000000	7	7	7	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-08-15	6194	5809	128	na
GCA_050990805.1	PRJNA1115909	SAMN41551833	na	na	244366	244366	Klebsiella variicola	strain=KLE2	na	latest	Complete Genome	Major	Full	2025-06-17	ASM5099080v1	Nanjing Agriculture University, College of Resources and Environmental science	GCF_050990805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/990/805/GCA_050990805.1_ASM5099080v1	na	na	na	haploid	bacteria	5792562	5792562	57.000000	2	2	2	na	na		0	0	0	na
